nodeName,aphia
Halisarca,131822
Haliclona,131834
Higginsia,131793
Abietinaria,117225
Clavularia,125286
Nipponnemertes bimaculata,156339
Lottia,160336
Halosydna brevisetosa,333534
Pectinaria californiensis,337505
Bispira,129523
Pseudopotamilla occelata,331424
Caprella,NA
Petrolisthes rathbunae,493143
Pachycheles rudis,425875
Ulva,144296
planktonic diatoms,NA
Jania crassa,1458696
Celleporella,110929
Ralfsia,143985
Silvetia compressa,374120
Hildenbrandia,144191
Mastocarpus,144163
Chondracanthus exasperatus,372551
Membranipora,110938
Porphyra,143808
Leptochelia,136235
Detritus,NA
Wrack,NA
Mulm/DOM,NA
Sarsia,117070
Crisia occidentalis,1297761
Sarsia,117070
Halecium,117103
Alcyonium,248205
Alpheus,106978
Cythere,127589
Radimella aurita,461639
Dactylopusia vulgaris inornata,116905
Zausinatus hopkinsi,NA
Laophonte,115374
Alteuthella,346724
Peltidium,115430
Joeropsis dubia dubia,264266
Joeropsis dubia paucispinis,264267
Excorallana tricornis occidentalis,264479
Photis californica,548644
Ampithoe simulans,423124
Cerapusp,NA
Ericthonius rubricornis,102409
Allorchestes angustus,489543
Caprella penantis,101846
Trichocorixa verticalis californica,508078
Canace,150991
Lepidasthenia longicirrata,338908
Syllis elongata,334893
Syllis gracilis,131435
Typosyllis pulchra,334999
Palola paloloides,335338
Naineris dendritica,334057
Polydora bioccipitalis,334571
Polydora pygidialis,334575
Polycirrusp,NA
Nemertopsis gracilis,156414
Clinocottusp,NA
Scorpaenichthys marmoratus,282726
drift algae,NA
Pseudopotamilla occelata,331424
fecal pellets,NA
Haliotis,138050
Sargassum muticum,494791
Ophiuroidea,123084
Hydrozoa,1337
Teleostei,293496
Harpacticoida,1102
Neorhodomela larix,372616
Nocticanace arnaudi,NA
Calanoida,1100
Microcladia coulteri,372611
Acrosiphonia coalita,366445
UNKNOWN,NA
Melanitta perspicillata,159095
Trilospora californica,465201
Monorchis,108647
Trichodina,164129
Opecoelus adsphaericus,728404
Podocotyle,108540
Gyrodactylus maculosi,518554
metacercaria_1,NA
Sphaeromyxa,120258
Calliostoma canaliculatum,467171
Orchitophrya stellarum,427054
Syndesmis,142304
Botryllophilus,106426
Euplotaspis cionaecola,NA
Microphallus pirum,109020
Microphallus pirum,109020
Calidris alba,159084
Lecudina arabellae,563085
opecolid_metacercaria_3,NA
metacercaria_5,NA
metacercaria_6,NA
metacercaria_2,NA
Eatonina,137789
Alvania almo,593629
Clathrina,131729
Loxosomella,111799
Disporella,111044
Halecium,117103
Symplectoscyphus erectus,271285
Haliclystus sanjuanensis,287228
Telesto,177688
Dactylopodola,114440
Crepidula plana,572259
Leptoplanella  californica,NA
Eurylepta,142222
Pachycheles holosericus,492838
Capillaria,494193
Genolinea aspicotti,726928
Phocanema decipiens,527906
Chondracanthus,144153
Cryptobia,425363
Myxidium calcariferi,1746748
